country,window,avg_risk
Mali,30_DAYS,15.0
Mali,90_DAYS,15.0
Marshall Islands,7_DAYS,70.0
Marshall Islands,30_DAYS,70.0
Marshall Islands,90_DAYS,70.0
Mexico,7_DAYS,15.0
Mexico,30_DAYS,15.0
Mexico,90_DAYS,33.33
Monaco,7_DAYS,70.0
Mongolia,7_DAYS,70.0
Morocco,7_DAYS,15.0
Morocco,30_DAYS,15.0
Morocco,90_DAYS,51.67
Myanmar,7_DAYS,70.0
Myanmar,30_DAYS,70.0
Myanmar,90_DAYS,70.0
Nepal,7_DAYS,15.0
Netherlands,7_DAYS,70.0
Netherlands,30_DAYS,70.0
Netherlands,90_DAYS,70.0
New Zealand,7_DAYS,15.0
New Zealand,30_DAYS,15.0
New Zealand,90_DAYS,15.0
Nicaragua,7_DAYS,70.0
Nicaragua,30_DAYS,70.0
Nicaragua,90_DAYS,70.0
Niger,7_DAYS,70.0
Niger,30_DAYS,70.0
Niger,90_DAYS,70.0
Northern Mariana Islands,7_DAYS,70.0
Norway,7_DAYS,70.0
Norway,30_DAYS,70.0
Norway,90_DAYS,70.0
Oman,7_DAYS,70.0
Oman,30_DAYS,70.0
Oman,90_DAYS,70.0
Pakistan,7_DAYS,70.0
Pakistan,30_DAYS,70.0
Pakistan,90_DAYS,70.0
Panama,7_DAYS,70.0
Panama,30_DAYS,70.0
Panama,90_DAYS,70.0
Peru,7_DAYS,70.0
Peru,30_DAYS,70.0
Peru,90_DAYS,70.0
Philippines,7_DAYS,70.0
Philippines,30_DAYS,70.0
Philippines,90_DAYS,70.0
Pitcairn,7_DAYS,42.5
Pitcairn,30_DAYS,42.5
Poland,7_DAYS,70.0
Poland,30_DAYS,70.0
Poland,90_DAYS,70.0
Portugal,7_DAYS,70.0
Puerto Rico,7_DAYS,70.0
Puerto Rico,30_DAYS,70.0
Puerto Rico,90_DAYS,70.0
Qatar,7_DAYS,70.0
Qatar,30_DAYS,70.0
Qatar,90_DAYS,70.0
Rwanda,7_DAYS,15.0
Rwanda,30_DAYS,15.0
Rwanda,90_DAYS,15.0
Saudi Arabia,7_DAYS,70.0
Saudi Arabia,30_DAYS,70.0
Saudi Arabia,90_DAYS,70.0
Serbia,7_DAYS,70.0
Seychelles,7_DAYS,70.0
Singapore,7_DAYS,70.0
Singapore,30_DAYS,42.5
Singapore,90_DAYS,51.67
Slovakia,7_DAYS,70.0
Slovenia,7_DAYS,70.0
Slovenia,30_DAYS,70.0
Slovenia,90_DAYS,70.0
South Africa,7_DAYS,70.0
South Africa,30_DAYS,70.0
South Africa,90_DAYS,70.0
Spain,7_DAYS,15.0
Spain,30_DAYS,15.0
Spain,90_DAYS,15.0
Sri Lanka,7_DAYS,70.0
Sri Lanka,30_DAYS,70.0
Sri Lanka,90_DAYS,70.0
Sudan,7_DAYS,70.0
Suriname,7_DAYS,15.0
Sweden,7_DAYS,15.0
Sweden,30_DAYS,15.0
Sweden,90_DAYS,15.0
Switzerland,7_DAYS,15.0
Switzerland,30_DAYS,15.0
Switzerland,90_DAYS,15.0
Thailand,7_DAYS,15.0
Thailand,30_DAYS,15.0
Thailand,90_DAYS,15.0
Togo,7_DAYS,15.0
Uganda,7_DAYS,70.0
Uganda,30_DAYS,70.0
Uganda,90_DAYS,70.0
Ukraine,7_DAYS,70.0
Ukraine,30_DAYS,70.0
Ukraine,90_DAYS,70.0
United Arab Emirates,7_DAYS,70.0
United Arab Emirates,30_DAYS,70.0
United Arab Emirates,90_DAYS,70.0
United Kingdom,7_DAYS,15.0
United Kingdom,30_DAYS,15.0
United Kingdom,90_DAYS,15.0
United States,7_DAYS,15.0
United States,30_DAYS,15.0
United States,90_DAYS,15.0
Uruguay,7_DAYS,70.0
Uzbekistan,7_DAYS,70.0
Viet Nam,7_DAYS,15.0
Yemen,7_DAYS,70.0
Yemen,30_DAYS,70.0
Yemen,90_DAYS,70.0
Zimbabwe,7_DAYS,70.0
Zimbabwe,30_DAYS,70.0
Zimbabwe,90_DAYS,70.0
